,CO surface flux,t_ref (JWST),t_ref (Nautilus)
0,0.01,6444.824312993646,5.5975502716030965
1,0.1,6444.824312993646,5.5975502716030965
2,1.0,6444.824312993646,5.5975502716030965
3,100.0,6444.824312993646,5.5975502716030965
4,1000.0,6444.824312993646,5.5975502716030965
5,10000.0,6444.824312993646,5.5975502716030965
6,100000.0,6444.824312993646,5.5975502716030965
7,1000000.0,6444.824312993646,5.5975502716030965
8,10000000.0,6438.492962866301,5.59194539087307
9,100000000.0,6446.8700895694,5.594512221142174
10,1000000000.0,6360.405520300907,5.530361085462276
11,10000000000.0,5730.827986568596,4.976663829674093
12,100000000000.0,2101.3188514651365,1.8211678221476206
13,1000000000000.0,0.0006256605496246734,5.274990450022563e-07
14,10000000000000.0,5.198481500210653e-05,4.678029924395398e-08
