,O2 surface flux,t_ref (JWST),t_ref (Nautilus)
0,5.000000e+08,13770037.093759175,inf
1,8.000000e+08,11823251.983880516,inf
2,1.000000e+09,11823251.983880516,251717.26391562654
3,2.500000e+09,11193078.386483036,inf
4,3.500000e+09,11395370.030251529,539302.3735374634
5,5.000000e+09,10797636.68201483,inf
6,6.000000e+09,10738794.296484087,6229234.58170461
7,7.500000e+09,11084812.98225803,inf
8,8.500000e+09,10647708.696401121,8890981.056198256
9,1.000000e+10,10693465.369252881,1852071.470682303
10,5.000000e+10,6651644.715767926,inf
11,9.000000e+10,4149258.9488956374,83418.70341295464
12,1.500000e+11,2336902.5415944397,86315.1818119344
13,2.500000e+11,920313.7125536473,22561.338233689043
14,3.000000e+11,560015.7568428824,23276.765178301543
15,3.250000e+11,436107.6683945549,9281.615657889382
16,3.500000e+11,289335.61298456654,1702.5883487611936
17,3.950000e+11,0.01957223458061715,3.6144820666190994e-05
18,4.200000e+11,3.573540168766385e-06,6.398794955104516e-09
19,5.500000e+11,5.1485409869705414e-08,2.5808732331588058e-11
20,1.000000e+12,3.0341526151754663e-08,1.3432328828570511e-12
21,5.000000e+12,1.669985763150371e-08,2.2809387903343996e-13
22,9.000000e+12,1.2854985061705728e-08,2.2261943265856352e-13
23,2.400000e+13,2.666963758538936e-08,9.513734447234813e-13
24,5.000000e+13,1.039466605986474e-08,2.1970092843808566e-13
25,6.000000e+13,2.87369148545107e-08,1.2190813446210554e-12
